,Unnamed: 0,product_id,brand,gender,category,master_category,su_cCategory,article_type,mrp,price,discount,discount_type,discount_display_label,coupon_discount,best_price,rating,rating_count,listViews,inventory,available,sizes,has_multiple_sizes,snapshot_date,season,is_fast_fashion,promotion_tags,has_promotion,year,preferred_delivery_tag,delivery_promise,source_sort
1459,,36819332,bebe,Women,Dresses,Apparel,Dress,Dresses,6799,2583,4216,1.0,(62% OFF),500.0,2083.0,3.66666674613953,6,0,301,True,"S,M,L,XL,XXL",True,2026-01-10,Winter,True,,False,2025,EXPRESS,Delivery By Jan 12,recommended
1460,,32661244,KALINI,Women,Ethnic Dresses,Apparel,Dress,Ethnic Dresses,7999,2319,5680,1.0,(71% OFF),500.0,1819.0,4.5,6,0,19,True,"S,M,L,XL,XXL",True,2026-01-10,Fall,False,Crazy_Deal|Festive_Price_Crash|Myntra_Unique,True,2025,,,recommended
1461,,38968490,StyleCast,Women,Dresses,Apparel,Dress,Dresses,3499,3499,0,,,500.0,2999.0,0.0,0,0,200,True,"XS,S,M,L",True,2026-01-10,Winter,False,,False,2025,,,recommended
1462,,36814518,MANGO,Women,Dresses,Apparel,Dress,Dresses,7990,4794,3196,1.0,(40% OFF),500.0,4294.0,4.0,14,0,23,True,"XS,S,M,L,XL",True,2026-01-10,Fall,True,Myntra_Unique,True,2025,,,recommended
1463,,10813300,Athena,Women,Dresses,Apparel,Dress,Dresses,3999,1679,2320,1.0,(58% OFF),500.0,1179.0,4.22982931137085,4747,0,1140,True,"XS,S,M,L,XL,XXL",True,2026-01-10,Winter,True,GST_Benefit_Included|Crazy_Deal|Festive_Price_Crash|Myntra_Unique,True,2019,EXPRESS,Delivery By Jan 12,recommended
1464,,34162925,Antheaa,Women,Dresses,Apparel,Dress,Dresses,2799,1567,1232,1.0,(44% OFF),471.0,1096.0,3.875,48,0,3,True,"XS,S,M,L,XL,XXL",True,2026-01-10,Summer,True,Crazy_Deal|Festive_Price_Crash|GST_Benefit_Included,True,2025,EXPRESS,Delivery By Jan 12,recommended
1465,,39022720,StyleCast,Women,Dresses,Apparel,Dress,Dresses,3449,3449,0,,,500.0,2949.0,0.0,0,0,200,True,"XS,S,M,L,XL",True,2026-01-10,Winter,False,,False,2025,,,recommended
1466,,37486956,Mast & Harbour,Women,Dresses,Apparel,Dress,Dresses,4399,1583,2816,1.0,(64% OFF),475.0,1108.0,4.19999980926514,5,0,260,True,"S,M,L,XL,XXL",True,2026-01-10,Fall,True,Myntra_Unique,True,2025,,,recommended
1467,,37872953,bebe,Women,Dresses,Apparel,Dress,Dresses,5499,1979,3520,1.0,(64% OFF),500.0,1479.0,3.98151564598084,541,0,293,True,"S,M,L,XL",True,2026-01-10,Winter,True,Myntra_Unique,True,2025,,,recommended
1468,,36676609,trueBrowns,Women,Dresses,Apparel,Dress,Dresses,4999,1499,3500,1.0,(70% OFF),450.0,1049.0,0.0,0,0,3,True,"XS,S,M,L,XL,XXL,3XL,4XL,5XL,6XL",True,2026-01-10,Fall,False,,False,2025,EXPRESS,Delivery By Jan 12,recommended
