,product_id,brand,gender,category,master_category,sub_category,article_type,mrp,price,discount,discount_type,discount_display_label,coupon_discount,best_price,rating,rating_count,list_views,inventory,available,sizes,has_multiple_sizes,snapshot_date,season,is_fast_fashion,promotion_tags,has_promotion,year,preferred_delivery_tag,delivery_promise,source_sort
4802,27846666,BAESD,Women,Dresses,Apparel,Dress,Dresses,4099,449,3650,1.0,(89% OFF),158.0,291.0,3.44444441795349,9,0,19,True,"S,M,L,XL,XXL",True,2026-01-14,Summer,True,Myntra_Unique,True,2024,,,discount
4803,27846662,BAESD,Women,Dresses,Apparel,Dress,Dresses,4099,449,3650,1.0,(89% OFF),158.0,291.0,3.69230771064758,13,0,22,True,"S,M,L,XL,XXL",True,2026-01-14,Summer,True,Myntra_Unique,True,2024,,,discount
4804,23958608,plusS,Women,Dresses,Apparel,Dress,Dresses,1999,219,1780,1.0,(Rs. 1780 OFF),77.0,142.0,3.87857151031494,140,0,18,True,"S,M,L,XL,XXL,3XL,4XL",True,2026-01-14,Summer,True,Crazy_Deal|Festive_Price_Crash,True,2023,EXPRESS,Delivery By Jan 14,discount
4805,23958600,plusS,Women,Dresses,Apparel,Dress,Dresses,1999,219,1780,1.0,(Rs. 1780 OFF),77.0,142.0,3.89051103591919,137,0,2,True,"S,M,L,XL,XXL,3XL,4XL",True,2026-01-14,Summer,True,,False,2023,EXPRESS,Delivery By Jan 14,discount
4806,18110606,plusS,Women,Dresses,Apparel,Dress,Dresses,1999,219,1780,1.0,(Rs. 1780 OFF),77.0,142.0,3.59090900421143,66,0,4,True,"S,M,L,XL,XXL,3XL,4XL",True,2026-01-14,Summer,True,,False,2022,EXPRESS,Delivery By Jan 14,discount
4807,13526308,plusS,Women,Dresses,Apparel,Dress,Dresses,2199,241,1958,1.0,(Rs. 1958 OFF),85.0,156.0,4.14772748947144,88,0,3,True,"S,M,L,XL,XXL,3XL,4XL",True,2026-01-14,Summer,True,Festive_Price_Crash|Crazy_Deal,True,2021,EXPRESS,Delivery By Jan 14,discount
4808,24382852,plusS,Women,Dresses,Apparel,Dress,Dresses,2299,252,2047,1.0,(Rs. 2047 OFF),89.0,163.0,4.11251211166382,1031,0,10,True,"S,M,L,XL,XXL,3XL,4XL",True,2026-01-14,Winter,True,Festive_Price_Crash,True,2023,EXPRESS,Delivery By Jan 14,discount
4809,16649884,plusS,Women,Dresses,Apparel,Dress,Dresses,2299,252,2047,1.0,(Rs. 2047 OFF),89.0,163.0,4.04255342483521,141,0,10,True,"S,M,L,XL,XXL,3XL,4XL",True,2026-01-14,Summer,True,,False,2022,EXPRESS,Delivery By Jan 14,discount
4810,22511440,plusS,Women,Dresses,Apparel,Dress,Dresses,2399,263,2136,1.0,(Rs. 2136 OFF),93.0,170.0,3.94736838340759,152,0,14,True,"S,M,L,XL,XXL,3XL,4XL",True,2026-01-14,Summer,True,,False,2023,EXPRESS,Delivery By Jan 14,discount
4811,37247490,Attire Empire,Women,Dresses,Apparel,Dress,Dresses,2499,274,2225,1.0,(Rs. 2225 OFF),96.0,178.0,4.33463048934937,514,0,2,True,"S,M,L,XL",True,2026-01-14,Summer,True,,False,2025,,,discount
