product_id,brand,gender,category,master_category,su_cCategory,article_type,mrp,price,discount,discount_type,discount_display_label,coupon_discount,best_price,rating,rating_count,listViews,inventory,available,sizes,has_multiple_sizes,snapshot_date,season,is_fast_fashion,promotion_tags,has_promotion,year,preferred_delivery_tag,delivery_promise
24320118,Biba,Women,Ethnic Dresses,Apparel,Dress,Ethnic Dresses,3999,2599,1400,1,(35% OFF),500,2099,4.22857141494751,595,0,207,True,"S,M,L,XL,XXL,3XL",True,2026-01-10,Winter,False,,False,2023,EXPRESS,Delivery By Jan 11
37111147,Libas,Women,Ethnic Dresses,Apparel,Dress,Ethnic Dresses,6999,2449,4550,1,(65% OFF),500,1949,4.39506149291992,81,0,53,True,"M,L,XL,XXL",True,2026-01-10,Winter,False,Myntra_Unique,True,2025,EXPRESS,Delivery By Jan 11
31239812,KALINI,Women,Ethnic Dresses,Apparel,Dress,Ethnic Dresses,7999,2639,5360,1,(67% OFF),500,2139,4.00916719436646,1309,0,97,True,"S,M,L,XL,XXL",True,2026-01-10,Fall,False,Festive_Price_Crash|Crazy_Deal|Myntra_Unique,True,2024,,
39128004,Madame,Women,Dresses,Apparel,Dress,Dresses,4299,3439,860,1,(20% OFF),500,2939,0,0,0,2,True,"S,M,L,XL,XXL",True,2026-01-10,Winter,False,,False,2025,,
37695155,Marks & Spencer,Women,Dresses,Apparel,Dress,Dresses,3999,3999,0,,,500,3499,0,0,0,5,True,"XXS,XS,S,M,L,XL,XXL",True,2026-01-10,Winter,False,,False,2025,EXPRESS,Delivery By Jan 11
29956547,StyleCast x Revolte,Women,Dresses,Apparel,Dress,Dresses,3499,1434,2065,1,(59% OFF),431,1003,4.07657670974731,666,0,161,True,"S,M,L",True,2026-01-10,Summer,True,GST_Benefit_Included|Crazy_Deal|Festive_Price_Crash|Myntra_Unique,True,2024,EXPRESS,Delivery By Jan 12
31067543,anayna,Women,Dresses,Apparel,Dress,Dresses,3840,806,3034,1,(Rs. 3034 OFF),283,523,4.42016649246216,5405,0,235,True,"XS,S,M,L,XL,XXL,3XL",True,2026-01-10,Winter,True,Festive_Price_Crash|Myntra_Unique,True,2024,EXPRESS,Delivery By Jan 12
39216259,The Mom Store,Women,Dresses,Apparel,Dress,Dresses,3199,2305,894,1,(28% OFF),500,1805,0,0,0,6,True,"S,M,L,XL,XXL,3XL",True,2026-01-10,Winter,False,,False,2026,,
24443254,Rustorange,Women,Ethnic Dresses,Apparel,Dress,Ethnic Dresses,2999,1140,1859,1,(62% OFF),350,790,4.14159297943115,113,0,26,True,"XS,S,M,L,XL,XXL",True,2026-01-10,Summer,False,Crazy_Deal|Festive_Price_Crash,True,2023,EXPRESS,Delivery By Jan 13
37886293,MANGO,Women,Dresses,Apparel,Dress,Dresses,6990,5242,1748,1,(25% OFF),500,4742,5,5,0,4,True,"XS,S,M,L,XL",True,2026-01-10,Summer,True,Myntra_Unique,True,2026,EXPRESS,Delivery By Jan 12
